HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Egypt , Burkina Faso,4,2,Group stage,Egypt 
Zambia , Senegal,2,2,Group stage,Draw
Nigeria , Tunisia,4,2,Group stage,Nigeria 
Morocco , Congo,1,0,Group stage,Morocco 
Nigeria , Congo,0,0,Group stage,Draw
Tunisia , Morocco,0,0,Group stage,Draw
Nigeria , Morocco,2,0,Group stage,Nigeria 
Tunisia , Congo,1,0,Group stage,Tunisia 
Cameroon , Algeria,2,1,Quarter-finals,Cameroon 
South Africa , Ghana,1,0,Quarter-finals,South Africa 
Egypt , Tunisia,0,1,Quarter-finals, Tunisia
Nigeria , Senegal,2,1,Quarter-finals,Nigeria 
Nigeria , South Africa,2,0,Semi-finals,Nigeria 
Cameroon , Tunisia,3,0,Semi-finals,Cameroon 
South Africa , Tunisia,2,2,Third place,Draw
Nigeria , Cameroon,2,2,Final,Draw
Mali , Liberia,1,1,Group stage,Draw
Algeria , Nigeria,0,1,Group stage, Nigeria
Mali , Nigeria,0,0,Group stage,Draw
Liberia , Algeria,2,2,Group stage,Draw
Mali , Algeria,2,0,Group stage,Mali 
Liberia , Nigeria,0,1,Group stage, Nigeria
South Africa , Burkina Faso,0,0,Group stage,Draw
Morocco , Ghana,0,0,Group stage,Draw
South Africa , Ghana,0,0,Group stage,Draw
Burkina Faso , Morocco,1,2,Group stage, Morocco
South Africa , Morocco,3,1,Group stage,South Africa 
Burkina Faso , Ghana,1,2,Group stage, Ghana
Cameroon , DR Congo,1,0,Group stage,Cameroon 
Togo , Ivory Coast,0,0,Group stage,Draw
Cameroon , Ivory Coast,1,0,Group stage,Cameroon 
DR Congo , Togo,0,0,Group stage,Draw
Cameroon , Togo,3,0,Group stage,Cameroon 
DR Congo , Ivory Coast,3,1,Group stage,DR Congo 
Egypt , Senegal,0,1,Group stage, Senegal
Zambia , Tunisia,0,0,Group stage,Draw
Egypt , Tunisia,1,0,Group stage,Egypt 
Senegal , Zambia,1,0,Group stage,Senegal 
Egypt , Zambia,2,1,Group stage,Egypt 
Senegal , Tunisia,0,0,Group stage,Draw
South Africa , Mali,0,2,Quarter-finals, Mali
Nigeria , Ghana,1,0,Quarter-finals,Nigeria 
Cameroon , Egypt,1,0,Quarter-finals,Cameroon 
Senegal , DR Congo,2,0,Quarter-finals,Senegal 
Nigeria , Senegal,1,2,Semi-finals, Senegal
Mali , Cameroon,0,3,Semi-finals, Cameroon
Nigeria , Mali,1,0,Third place,Nigeria 
Senegal , Cameroon,0,0,Final,Draw
Tunisia , Rwanda,2,1,Group stage,Tunisia 
DR Congo , Guinea,1,2,Group stage, Guinea
Rwanda , Guinea,1,1,Group stage,Draw
Tunisia , DR Congo,3,0,Group stage,Tunisia 
Tunisia , Guinea,1,1,Group stage,Draw
Rwanda , DR Congo,1,0,Group stage,Rwanda 
Kenya , Mali,1,3,Group stage, Mali
Senegal , Burkina Faso,0,0,Group stage,Draw
Senegal , Kenya,3,0,Group stage,Senegal 
Burkina Faso , Mali,1,3,Group stage, Mali
Senegal , Mali,1,1,Group stage,Draw
Burkina Faso , Kenya,0,3,Group stage, Kenya
Zimbabwe , Egypt,1,2,Group stage, Egypt
Cameroon , Algeria,1,1,Group stage,Draw
Cameroon , Zimbabwe,5,3,Group stage,Cameroon 
Algeria , Egypt,2,1,Group stage,Algeria 
Cameroon , Egypt,0,0,Group stage,Draw
Algeria , Zimbabwe,1,2,Group stage, Zimbabwe
Nigeria , Morocco,0,1,Group stage, Morocco
South Africa , Benin,2,0,Group stage,South Africa 
Nigeria , South Africa,4,0,Group stage,Nigeria 
Morocco , Benin,4,0,Group stage,Morocco 
Morocco , South Africa,1,1,Group stage,Draw
Nigeria , Benin,2,1,Group stage,Nigeria 
Mali , Guinea,2,1,Quarter-finals,Mali 
Tunisia , Senegal,1,0,Quarter-finals,Tunisia 
Cameroon , Nigeria,1,2,Quarter-finals, Nigeria
Morocco , Algeria,3,1,Quarter-finals,Morocco 
Tunisia , Nigeria,1,1,Semi-finals,Draw
Morocco , Mali,4,0,Semi-finals,Morocco 
Nigeria , Mali,2,1,Third place,Nigeria 
Tunisia , Morocco,2,1,Final,Tunisia 
Egypt , Libya,3,0,Group stage,Egypt 
Morocco , Ivory Coast,0,1,Group stage, Ivory Coast
Libya , Ivory Coast,1,2,Group stage, Ivory Coast
Egypt , Morocco,0,0,Group stage,Draw
Egypt , Ivory Coast,3,1,Group stage,Egypt 
Libya , Morocco,0,0,Group stage,Draw
Cameroon , Angola,3,1,Group stage,Cameroon 
Togo , DR Congo,0,2,Group stage, DR Congo
Angola , DR Congo,0,0,Group stage,Draw
Cameroon , Togo,2,0,Group stage,Cameroon 
Angola , Togo,3,2,Group stage,Angola 
Cameroon , DR Congo,2,0,Group stage,Cameroon 
Tunisia , Zambia,4,1,Group stage,Tunisia 
South Africa , Guinea,0,2,Group stage, Guinea
Zambia , Guinea,1,2,Group stage, Guinea
Tunisia , South Africa,2,0,Group stage,Tunisia 
Tunisia , Guinea,0,3,Group stage, Guinea
Zambia , South Africa,1,0,Group stage,Zambia 
Nigeria , Ghana,1,0,Group stage,Nigeria 
Zimbabwe , Senegal,0,2,Group stage, Senegal
Ghana , Senegal,1,0,Group stage,Ghana 
Nigeria , Zimbabwe,2,0,Group stage,Nigeria 
Nigeria , Senegal,2,1,Group stage,Nigeria 
Ghana , Zimbabwe,1,2,Group stage, Zimbabwe
Guinea , Senegal,2,3,Quarter-finals, Senegal
Egypt , DR Congo,4,1,Quarter-finals,Egypt 
Nigeria , Tunisia,1,1,Quarter-finals,Draw
Cameroon , Ivory Coast,1,1,Quarter-finals,Draw
Egypt , Senegal,2,1,Semi-finals,Egypt 
Nigeria , Ivory Coast,0,1,Semi-finals, Ivory Coast
Senegal , Nigeria,0,1,Third place, Nigeria
Egypt , Ivory Coast,0,0,Final,Draw
Ghana , Guinea,2,1,Group stage,Ghana 
Namibia , Morocco,1,5,Group stage, Morocco
Guinea , Morocco,3,2,Group stage,Guinea 
Ghana , Namibia,1,0,Group stage,Ghana 
Ghana , Morocco,2,0,Group stage,Ghana 
Guinea , Namibia,1,1,Group stage,Draw
Nigeria , Ivory Coast,0,1,Group stage, Ivory Coast
Mali , Benin,1,0,Group stage,Mali 
Ivory Coast , Benin,4,1,Group stage,Ivory Coast 
Nigeria , Mali,0,0,Group stage,Draw
Nigeria , Benin,2,0,Group stage,Nigeria 
Ivory Coast , Mali,3,0,Group stage,Ivory Coast 
Egypt , Cameroon,4,2,Group stage,Egypt 
Sudan , Zambia,0,3,Group stage, Zambia
Cameroon , Zambia,5,1,Group stage,Cameroon 
Egypt , Sudan,3,0,Group stage,Egypt 
Cameroon , Sudan,3,0,Group stage,Cameroon 
Egypt , Zambia,1,1,Group stage,Draw
Tunisia , Senegal,2,2,Group stage,Draw
South Africa , Angola,1,1,Group stage,Draw
Senegal , Angola,1,3,Group stage, Angola
Tunisia , South Africa,3,1,Group stage,Tunisia 
Senegal , South Africa,1,1,Group stage,Draw
Tunisia , Angola,0,0,Group stage,Draw
Ghana , Nigeria,2,1,Quarter-finals,Ghana 
Ivory Coast , Guinea,5,0,Quarter-finals,Ivory Coast 
Egypt , Angola,2,1,Quarter-finals,Egypt 
Tunisia , Cameroon,2,3,Quarter-finals, Cameroon
Ghana , Cameroon,0,1,Semi-finals, Cameroon
Ivory Coast , Egypt,1,4,Semi-finals, Egypt
Ghana , Ivory Coast,4,2,Third place,Ghana 
Cameroon , Egypt,0,1,Final, Egypt
Angola , Mali,4,4,Group stage,Draw
Malawi , Algeria,3,0,Group stage,Malawi 
Mali , Algeria,0,1,Group stage, Algeria
Angola , Malawi,2,0,Group stage,Angola 
Angola , Algeria,0,0,Group stage,Draw
Mali , Malawi,3,1,Group stage,Mali 
Ivory Coast , Burkina Faso,0,0,Group stage,Draw
Ghana , Togo,,,Group stage,Draw
Burkina Faso , Togo,,,Group stage,Draw
Ivory Coast , Ghana,3,1,Group stage,Ivory Coast 
Burkina Faso , Ghana,0,1,Group stage, Ghana
Ivory Coast , Togo,,,Group stage,Draw
Egypt , Nigeria,3,1,Group stage,Egypt 
Mozambique , Benin,2,2,Group stage,Draw
Nigeria , Benin,1,0,Group stage,Nigeria 
Egypt , Mozambique,2,0,Group stage,Egypt 
Egypt , Benin,2,0,Group stage,Egypt 
Nigeria , Mozambique,3,0,Group stage,Nigeria 
Cameroon , Gabon,0,1,Group stage, Gabon
Zambia , Tunisia,1,1,Group stage,Draw
Gabon , Tunisia,0,0,Group stage,Draw
Cameroon , Zambia,3,2,Group stage,Cameroon 
Gabon , Zambia,1,2,Group stage, Zambia
Cameroon , Tunisia,2,2,Group stage,Draw
Angola , Ghana,0,1,Quarter-finals, Ghana
Ivory Coast , Algeria,2,3,Quarter-finals, Algeria
Egypt , Cameroon,3,1,Quarter-finals,Egypt 
Zambia , Nigeria,0,0,Quarter-finals,Draw
Ghana , Nigeria,1,0,Semi-finals,Ghana 
Algeria , Egypt,0,4,Semi-finals, Egypt
Nigeria , Algeria,1,0,Third place,Nigeria 
Ghana , Egypt,0,1,Final, Egypt
Zambia , Sudan,3,0,Quarter-finals,Zambia 
Ivory Coast , Equatorial Guinea,3,0,Quarter-finals,Ivory Coast 
Gabon , Mali,1,1,Quarter-finals,Draw
Ghana , Tunisia,2,1,Quarter-finals,Ghana 
Zambia , Ghana,1,0,Semi-finals,Zambia 
Mali , Ivory Coast,0,1,Semi-finals, Ivory Coast
Ghana , Mali,0,2,Third place, Mali
Zambia , Ivory Coast,0,0,Final,Draw
Ghana , Cape Verde,2,0,Quarter-finals,Ghana 
South Africa , Mali,1,1,Quarter-finals,Draw
Ivory Coast , Nigeria,1,2,Quarter-finals, Nigeria
Burkina Faso , Togo,1,0,Quarter-finals,Burkina Faso 
Mali , Nigeria,1,4,Semi-finals, Nigeria
Burkina Faso , Ghana,1,1,Semi-finals,Draw
Mali , Ghana,3,1,Third place,Mali 
Nigeria , Burkina Faso,1,0,Final,Nigeria 
Congo , DR Congo,2,4,Quarter-finals, DR Congo
Tunisia , Equatorial Guinea,1,2,Quarter-finals, Equatorial Guinea
Ghana , Guinea,3,0,Quarter-finals,Ghana 
Ivory Coast , Algeria,3,1,Quarter-finals,Ivory Coast 
DR Congo , Ivory Coast,1,3,Semi-finals, Ivory Coast
Ghana , Equatorial Guinea,3,0,Semi-finals,Ghana 
DR Congo , Equatorial Guinea,0,0,Third place,Draw
Ivory Coast , Ghana,0,0,Final,Draw
Gabon , Guinea-Bissau,1,1,Group stage,Draw
Burkina Faso , Cameroon,1,1,Group stage,Draw
Gabon , Burkina Faso,1,1,Group stage,Draw
Cameroon , Guinea-Bissau,2,1,Group stage,Cameroon 
Cameroon , Gabon,0,0,Group stage,Draw
Guinea-Bissau , Burkina Faso,0,2,Group stage, Burkina Faso
Algeria , Zimbabwe,2,2,Group stage,Draw
Tunisia , Senegal,0,2,Group stage, Senegal
Algeria , Tunisia,1,2,Group stage, Tunisia
Senegal , Zimbabwe,2,0,Group stage,Senegal 
Senegal , Algeria,2,2,Group stage,Draw
Zimbabwe , Tunisia,2,4,Group stage, Tunisia
Ivory Coast , Togo,0,0,Group stage,Draw
DR Congo , Morocco,1,0,Group stage,DR Congo 
Ivory Coast , DR Congo,2,2,Group stage,Draw
Morocco , Togo,3,1,Group stage,Morocco 
Morocco , Ivory Coast,1,0,Group stage,Morocco 
Togo , DR Congo,1,3,Group stage, DR Congo
Ghana , Uganda,1,0,Group stage,Ghana 
Mali , Egypt,0,0,Group stage,Draw
Ghana , Mali,1,0,Group stage,Ghana 
Egypt , Uganda,1,0,Group stage,Egypt 
Egypt , Ghana,1,0,Group stage,Egypt 
Uganda , Mali,1,1,Group stage,Draw
Burkina Faso , Tunisia,2,0,Quarter-finals,Burkina Faso 
Senegal , Cameroon,0,0,Quarter-finals,Draw
DR Congo , Ghana,1,2,Quarter-finals, Ghana
Egypt , Morocco,1,0,Quarter-finals,Egypt 
Burkina Faso , Egypt,1,1,Semi-finals,Draw
Cameroon , Ghana,2,0,Semi-finals,Cameroon 
Burkina Faso , Ghana,1,0,Third place,Burkina Faso 
Egypt , Cameroon,1,2,Final, Cameroon
Egypt , Zimbabwe,1,0,Group stage,Egypt 
DR Congo , Uganda,0,2,Group stage, Uganda
Uganda , Zimbabwe,1,1,Group stage,Draw
Egypt , DR Congo,2,0,Group stage,Egypt 
Uganda , Egypt,0,2,Group stage, Egypt
Zimbabwe , DR Congo,0,4,Group stage, DR Congo
Nigeria , Burundi,1,0,Group stage,Nigeria 
Guinea , Madagascar,2,2,Group stage,Draw
Nigeria , Guinea,1,0,Group stage,Nigeria 
Madagascar , Burundi,1,0,Group stage,Madagascar 
Madagascar , Nigeria,2,0,Group stage,Madagascar 
Burundi , Guinea,0,2,Group stage, Guinea
Senegal , Tanzania,2,0,Group stage,Senegal 
Algeria , Kenya,2,0,Group stage,Algeria 
Senegal , Algeria,0,1,Group stage, Algeria
Kenya , Tanzania,3,2,Group stage,Kenya 
Kenya , Senegal,0,3,Group stage, Senegal
Tanzania , Algeria,0,3,Group stage, Algeria
Morocco , Namibia,1,0,Group stage,Morocco 
Ivory Coast , South Africa,1,0,Group stage,Ivory Coast 
Morocco , Ivory Coast,1,0,Group stage,Morocco 
South Africa , Namibia,1,0,Group stage,South Africa 
South Africa , Morocco,0,1,Group stage, Morocco
Namibia , Ivory Coast,1,4,Group stage, Ivory Coast
Tunisia , Angola,1,1,Group stage,Draw
Mali , Mauritania,4,1,Group stage,Mali 
Tunisia , Mali,1,1,Group stage,Draw
Mauritania , Angola,0,0,Group stage,Draw
Mauritania , Tunisia,0,0,Group stage,Draw
Angola , Mali,0,1,Group stage, Mali
Cameroon , Guinea-Bissau,2,0,Group stage,Cameroon 
Ghana , Benin,2,2,Group stage,Draw
Cameroon , Ghana,0,0,Group stage,Draw
Benin , Guinea-Bissau,0,0,Group stage,Draw
Benin , Cameroon,0,0,Group stage,Draw
Guinea-Bissau , Ghana,0,2,Group stage, Ghana
Morocco , Benin,1,1,Round of 16,Draw
Uganda , Senegal,0,1,Round of 16, Senegal
Nigeria , Cameroon,3,2,Round of 16,Nigeria 
Egypt , South Africa,0,1,Round of 16, South Africa
Madagascar , DR Congo,2,2,Round of 16,Draw
Algeria , Guinea,3,0,Round of 16,Algeria 
Mali , Ivory Coast,0,1,Round of 16, Ivory Coast
Ghana , Tunisia,1,1,Round of 16,Draw
Senegal , Benin,1,0,Quarter-finals,Senegal 
Nigeria , South Africa,2,1,Quarter-finals,Nigeria 
Ivory Coast , Algeria,1,1,Quarter-finals,Draw
Madagascar , Tunisia,0,3,Quarter-finals, Tunisia
Senegal , Tunisia,1,0,Semi-finals,Senegal 
Algeria , Nigeria,2,1,Semi-finals,Algeria 
Tunisia , Nigeria,0,1,Third place, Nigeria
Senegal , Algeria,0,1,Final, Algeria
Cameroon , Burkina Faso,2,1,Group stage,Cameroon 
Ethiopia , Cape Verde,0,1,Group stage, Cape Verde
Cameroon , Ethiopia,4,1,Group stage,Cameroon 
Cape Verde , Burkina Faso,0,1,Group stage, Burkina Faso
Cape Verde , Cameroon,1,1,Group stage,Draw
Burkina Faso , Ethiopia,1,1,Group stage,Draw
Senegal , Zimbabwe,1,0,Group stage,Senegal 
Guinea , Malawi,1,0,Group stage,Guinea 
Senegal , Guinea,0,0,Group stage,Draw
Malawi , Zimbabwe,2,1,Group stage,Malawi 
Malawi , Senegal,0,0,Group stage,Draw
Zimbabwe , Guinea,2,1,Group stage,Zimbabwe 
Morocco , Ghana,1,0,Group stage,Morocco 
Comoros , Gabon,0,1,Group stage, Gabon
Morocco , Comoros,2,0,Group stage,Morocco 
Gabon , Ghana,1,1,Group stage,Draw
Gabon , Morocco,2,2,Group stage,Draw
Ghana , Comoros,2,3,Group stage, Comoros
Nigeria , Egypt,1,0,Group stage,Nigeria 
Sudan , Guinea-Bissau,0,0,Group stage,Draw
Nigeria , Sudan,3,1,Group stage,Nigeria 
Guinea-Bissau , Egypt,0,1,Group stage, Egypt
Guinea-Bissau , Nigeria,0,2,Group stage, Nigeria
Egypt , Sudan,1,0,Group stage,Egypt 
Algeria , Sierra Leone,0,0,Group stage,Draw
Equatorial Guinea , Ivory Coast,0,1,Group stage, Ivory Coast
Ivory Coast , Sierra Leone,2,2,Group stage,Draw
Algeria , Equatorial Guinea,0,1,Group stage, Equatorial Guinea
Ivory Coast , Algeria,3,1,Group stage,Ivory Coast 
Sierra Leone , Equatorial Guinea,0,1,Group stage, Equatorial Guinea
Tunisia , Mali,0,1,Group stage, Mali
Mauritania , Gambia,0,1,Group stage, Gambia
Gambia , Mali,1,1,Group stage,Draw
Tunisia , Mauritania,4,0,Group stage,Tunisia 
Gambia , Tunisia,1,0,Group stage,Gambia 
Mali , Mauritania,2,0,Group stage,Mali 
Burkina Faso , Gabon,1,1,Round of 16,Draw
Nigeria , Tunisia,0,1,Round of 16, Tunisia
Guinea , Gambia,0,1,Round of 16, Gambia
Cameroon , Comoros,2,1,Round of 16,Cameroon 
Senegal , Cape Verde,2,0,Round of 16,Senegal 
Morocco , Malawi,2,1,Round of 16,Morocco 
Ivory Coast , Egypt,0,0,Round of 16,Draw
Mali , Equatorial Guinea,0,0,Round of 16,Draw
Gambia , Cameroon,0,2,Quarter-finals, Cameroon
Burkina Faso , Tunisia,1,0,Quarter-finals,Burkina Faso 
Egypt , Morocco,2,1,Quarter-finals,Egypt 
Senegal , Equatorial Guinea,3,1,Quarter-finals,Senegal 
Burkina Faso , Senegal,1,3,Semi-finals, Senegal
Cameroon , Egypt,0,0,Semi-finals,Draw
Burkina Faso , Cameroon,3,3,Third place,Draw
Senegal , Egypt,0,0,Final,Draw