HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Winner
Sudan , Egypt,1.0,2.0,Semifinals,Away
Ethiopia , South Africa,,,Semifinals,Draw
Egypt , Ethiopia,4.0,0.0,Final,Home
Egypt, Ethiopia,4.0,0.0,Final Tournament,Home
Sudan , Ethiopia,1.0,0.0,Final Tournament,Home
Egypt, Sudan,2.0,1.0,Final Tournament,Home
Ethiopia , Tunisia,4.0,2.0,Semifinals,Home
Egypt, Uganda,2.0,1.0,Semifinals,Home
Tunisia , Uganda,3.0,0.0,Third place match,Home
Ethiopia ,Egypt,4.0,2.0,Final,Home
Ghana , Tunisia,1.0,1.0,Group A,Draw
Ghana , Ethiopia,2.0,0.0,Group A,Home
Ethiopia , Tunisia,4.0,2.0,Group A,Home
Egypt, Nigeria,6.0,3.0,Group B,Home
Egypt, Sudan,2.0,2.0,Group B,Draw
Sudan , Nigeria,4.0,0.0,Group B,Home
Egypt, Ethiopia,3.0,0.0,Third place match,Home
Ghana , Sudan,3.0,0.0,Final,Home
Tunisia , Ethiopia,4.0,0.0,Group A,Home
Senegal , Tunisia,0.0,0.0,Group A,Draw
Senegal , Ethiopia,5.0,1.0,Group A,Home
Ghana , Congo-Léopoldville,5.0,2.0,Group B,Home
Ivory Coast , Congo-Léopoldville,3.0,0.0,Group B,Home
Ghana , Ivory Coast,4.0,1.0,Group B,Home
Senegal , Ivory Coast,0.0,1.0,Third place match,Away
Ghana , Tunisia,3.0,2.0,Final,Home
Ethiopia , Uganda,2.0,1.0,Group A,Home
Ivory Coast , Algeria,3.0,0.0,Group A,Home
Ethiopia , Ivory Coast,1.0,0.0,Group A,Home
Algeria , Uganda,4.0,0.0,Group A,Home
Ivory Coast , Uganda,2.0,1.0,Group A,Home
Ethiopia , Algeria,3.0,1.0,Group A,Home
Ghana , Senegal,2.0,2.0,Group B,Draw
Congo-Kinshasa , Congo-Brazzaville,3.0,0.0,Group B,Home
Senegal , Congo-Brazzaville,2.0,1.0,Group B,Home
Ghana , Congo-Kinshasa,2.0,1.0,Group B,Home
Congo-Kinshasa , Senegal,2.0,1.0,Group B,Home
Ghana , Congo-Brazzaville,3.0,1.0,Group B,Home
Ethiopia , Congo-Kinshasa,2.0,3.0,Semi-finals,Away
Ghana , Ivory Coast,4.0,3.0,Semi-finals,Home
Ivory Coast , Ethiopia,1.0,0.0,Third place match,Home
Congo-Kinshasa , Ghana,1.0,0.0,Final,Home
Cameroon , Ivory Coast,3.0,2.0,Group A,Home
Sudan , Ethiopia,3.0,0.0,Group A,Home
Cameroon , Ethiopia,3.0,2.0,Group A,Home
Ivory Coast , Sudan,1.0,0.0,Group A,Home
Ivory Coast , Ethiopia,6.0,1.0,Group A,Home
Sudan , Cameroon,2.0,1.0,Group A,Home
Ghana , Congo-Kinshasa,2.0,0.0,Group B,Home
United Arab Rep. , Guinea,4.0,1.0,Group B,Home
Congo-Kinshasa , Guinea,2.0,2.0,Group B,Draw
United Arab Rep. , Ghana,1.0,1.0,Group B,Draw
Guinea , Ghana,1.0,1.0,Group B,Draw
United Arab Rep. , Congo-Kinshasa,1.0,0.0,Group B,Home
Ivory Coast , Ghana,1.0,2.0,Semifinals,Away
United Arab Rep. , Sudan,1.0,2.0,Semifinals,Away
United Arab Rep. , Ivory Coast,3.0,1.0,Third place match,Home
Sudan , Ghana,1.0,0.0,Final,Home
Cameroon , Kenya,2.0,1.0,Group A,Home
Mali , Togo,3.0,3.0,Group A,Draw
Mali , Kenya,1.0,1.0,Group A,Draw
Cameroon , Togo,2.0,0.0,Group A,Home
Togo , Kenya,1.0,1.0,Group A,Draw
Cameroon , Mali,1.0,1.0,Group A,Draw
Congo , Morocco,1.0,1.0,Group B,Draw
Zaire , Sudan,1.0,1.0,Group B,Draw
Morocco , Sudan,1.0,1.0,Group B,Draw
Zaire , Congo,2.0,0.0,Group B,Home
Morocco , Zaire,1.0,1.0,Group B,Draw
Congo , Sudan,4.0,2.0,Group B,Home
Cameroon , Congo,0.0,1.0,Semifinals,Away
Zaire , Mali,3.0,4.0,Semifinals,Away
Cameroon , Zaire,5.0,2.0,Third place match,Home
Congo , Mali,3.0,2.0,Final,Home
Egypt , Uganda,2.0,1.0,Group A,Home
Zambia , Ivory Coast,1.0,0.0,Group A,Home
Egypt , Zambia,3.0,1.0,Group A,Home
Ivory Coast , Uganda,2.0,2.0,Group A,Draw
Egypt , Ivory Coast,2.0,0.0,Group A,Home
Zambia , Uganda,1.0,0.0,Group A,Home
Zaire , Guinea,2.0,1.0,Group B,Home
Congo , Mauritius,2.0,0.0,Group B,Home
Guinea , Mauritius,2.0,1.0,Group B,Home
Congo , Zaire,2.0,1.0,Group B,Home
Congo , Guinea,1.0,1.0,Group B,Draw
Zaire , Mauritius,4.0,1.0,Group B,Home
Egypt , Zaire,2.0,3.0,Semifinals,Away
Congo , Zambia,2.0,4.0,Semifinals,Away
Congo , Egypt,0.0,4.0,Third place match,Away
Zaire , Zambia,2.0,2.0,Final,Draw
Zaire , Zambia,2.0,0.0,Final,Home
Ethiopia , Uganda,2.0,0.0,Group A,Home
Egypt , Guinea,1.0,1.0,Group A,Draw
Egypt , Uganda,2.0,1.0,Group A,Home
Ethiopia , Guinea,1.0,2.0,Group A,Away
Guinea , Uganda,2.0,1.0,Group A,Home
Ethiopia , Egypt,1.0,1.0,Group A,Draw
Nigeria , Zaire,4.0,2.0,Group B,Home
Morocco , Sudan,2.0,2.0,Group B,Draw
Nigeria , Sudan,1.0,0.0,Group B,Home
Morocco , Zaire,1.0,0.0,Group B,Home
Morocco , Nigeria,3.0,1.0,Group B,Home
Zaire , Sudan,1.0,1.0,Group B,Draw
Guinea , Nigeria,1.0,1.0,Group B,Draw
Morocco , Egypt,2.0,1.0,Group B,Home
Morocco , Nigeria,2.0,1.0,Group B,Home
Guinea , Egypt,4.0,2.0,Group B,Home
Nigeria , Egypt,3.0,2.0,Group B,Home
Guinea , Morocco,1.0,1.0,Group B,Draw
Ghana , Zambia,2.0,1.0,Group A,Home
Nigeria , Upper Volta,4.0,2.0,Group A,Home
Zambia , Upper Volta,2.0,0.0,Group A,Home
Nigeria , Ghana,1.0,1.0,Group A,Draw
Zambia , Nigeria,0.0,0.0,Group A,Draw
Ghana , Upper Volta,3.0,0.0,Group A,Home
Morocco , Tunisia,1.0,1.0,Group B,Draw
Uganda , Congo,3.0,1.0,Group B,Home
Tunisia , Uganda,3.0,1.0,Group B,Home
Morocco , Congo,1.0,0.0,Group B,Home
Congo , Tunisia,0.0,0.0,Group B,Draw
Uganda , Morocco,3.0,0.0,Group B,Home
Ghana , Tunisia,1.0,0.0,Semi-finals,Home
Uganda , Nigeria,2.0,1.0,Semi-finals,Home
Nigeria , Tunisia,1.0,11.0,Third place match,Away
Ghana , Uganda,2.0,0.0,Final,Home
Nigeria , Tanzania,3.0,1.0,Group A,Home
Egypt , Ivory Coast,2.0,1.0,Group A,Home
Egypt , Tanzania,2.0,1.0,Group A,Home
Nigeria , Ivory Coast,0.0,0.0,Group A,Draw
Ivory Coast , Tanzania,1.0,1.0,Group A,Draw
Nigeria , Egypt,1.0,0.0,Group A,Home
Ghana , Algeria,0.0,0.0,Group B,Draw
Morocco , Guinea,1.0,1.0,Group B,Draw
Algeria , Morocco,1.0,0.0,Group B,Home
Ghana , Guinea,1.0,0.0,Group B,Home
Algeria , Guinea,3.0,2.0,Group B,Home
Morocco , Ghana,1.0,0.0,Group B,Home
Nigeria , Morocco,1.0,0.0,Semi-finals,Home
Algeria , Egypt,2.0,2.0,Semi-finals,Draw
Morocco , Egypt,2.0,0.0,Third place match,Home
Nigeria , Algeria,3.0,0.0,Final,Home
Libya , Ghana,2.0,2.0,Group A,Draw
Cameroon , Tunisia,1.0,1.0,Group A,Draw
Cameroon , Ghana,0.0,0.0,Group A,Draw
Libya , Tunisia,2.0,0.0,Group A,Home
Ghana , Tunisia,1.0,0.0,Group A,Home
Libya , Cameroon,0.0,0.0,Group A,Draw
Nigeria , Ethiopia,3.0,0.0,Group B,Home
Algeria , Zambia,1.0,0.0,Group B,Home
Zambia , Ethiopia,1.0,0.0,Group B,Home
Algeria , Nigeria,2.0,1.0,Group B,Home
Algeria , Ethiopia,0.0,0.0,Group B,Draw
Zambia , Nigeria,3.0,0.0,Group B,Home
Ghana , Algeria,3.0,2.0,Semifinals,Home
Libya , Zambia,2.0,1.0,Semifinals,Home
Zambia , Algeria,2.0,0.0,Third place match,Home
Ghana , Libya,1.0,1.0,Final,Draw
Ivory Coast , Togo,3.0,0.0,Group A,Home
Egypt , Cameroon,1.0,0.0,Group A,Home
Cameroon , Togo,4.0,1.0,Group A,Home
Ivory Coast , Egypt,1.0,2.0,Group A,Away
Egypt , Togo,0.0,0.0,Group A,Draw
Ivory Coast , Cameroon,0.0,2.0,Group A,Away
Ghana , Nigeria,1.0,2.0,Group B,Away
Algeria , Malawi,3.0,0.0,Group B,Home
Malawi , Nigeria,2.0,2.0,Group B,Draw
Algeria , Ghana,2.0,0.0,Group B,Home
Algeria , Nigeria,0.0,0.0,Group B,Draw
Ghana , Malawi,1.0,0.0,Group B,Home
Egypt , Nigeria,2.0,2.0,Semifinals,Draw
Algeria , Cameroon,0.0,0.0,Semifinals,Draw
Algeria , Egypt,3.0,1.0,Third place match,Home
Cameroon , Nigeria,3.0,1.0,Final,Home
Senegal , Egypt,1.0,0.0,Group A,Home
Ivory Coast , Mozambique,3.0,0.0,Group A,Home
Senegal , Mozambique,2.0,0.0,Group A,Home
Egypt , Ivory Coast,2.0,0.0,Group A,Home
Ivory Coast , Senegal,1.0,0.0,Group A,Home
Egypt , Mozambique,2.0,0.0,Group A,Home
Algeria , Morocco,0.0,0.0,Group B,Draw
Cameroon , Zambia,3.0,2.0,Group B,Home
Algeria , Zambia,0.0,0.0,Group B,Draw
Cameroon , Morocco,1.0,1.0,Group B,Draw
Morocco , Zambia,1.0,0.0,Group B,Home
Cameroon , Algeria,3.0,2.0,Group B,Home
Cameroon , Ivory Coast,1.0,0.0,Semifinals,Home
Egypt , Morocco,1.0,0.0,Semifinals,Home
Ivory Coast , Morocco,3.0,2.0,Third place match,Home
Egypt , Cameroon,0.0,0.0,Final,Draw
Morocco , Zaire,1.0,1.0,Group A,Draw
Ivory Coast , Algeria,1.0,1.0,Group A,Draw
Ivory Coast , Zaire,1.0,1.0,Group A,Draw
Morocco , Algeria,1.0,0.0,Group A,Home
Algeria , Zaire,1.0,0.0,Group A,Home
Morocco , Ivory Coast,0.0,0.0,Group A,Draw
Cameroon , Egypt,1.0,0.0,Group B,Home
Nigeria , Kenya,3.0,0.0,Group B,Home
Cameroon , Nigeria,1.0,1.0,Group B,Draw
Egypt , Kenya,3.0,0.0,Group B,Home
Cameroon , Kenya,0.0,0.0,Group B,Draw
Nigeria , Egypt,0.0,0.0,Group B,Draw
Nigeria , Algeria,1.0,1.0,Semifinals,Draw
Morocco , Cameroon,0.0,1.0,Semifinals,Away
Morocco , Algeria,1.0,1.0,Third place match,Draw
Cameroon , Nigeria,1.0,0.0,Final,Home
Algeria , Nigeria,5.0,1.0,Group A,Home
Ivory Coast , Egypt,3.0,1.0,Group A,Home
Nigeria , Egypt,1.0,0.0,Group A,Home
Algeria , Ivory Coast,3.0,0.0,Group A,Home
Nigeria , Ivory Coast,1.0,0.0,Group A,Home
Algeria , Egypt,2.0,0.0,Group A,Home
Zambia , Cameroon,1.0,0.0,Group B,Home
Senegal , Kenya,0.0,0.0,Group B,Draw
Zambia , Kenya,1.0,0.0,Group B,Home
Senegal , Cameroon,2.0,0.0,Group B,Home
Zambia , Senegal,0.0,0.0,Group B,Draw
Cameroon , Kenya,2.0,0.0,Group B,Home
Zambia , Nigeria,0.0,2.0,Semi-finals,Away
Algeria , Senegal,2.0,1.0,Semi-finals,Home
Zambia , Senegal,1.0,0.0,Third place match,Home
Algeria , Nigeria,1.0,0.0,Final,Home
Nigeria , Senegal,2.0,1.0,Group A,Home
Nigeria , Kenya,2.0,1.0,Group A,Home
Senegal , Kenya,3.0,0.0,Group A,Home
Cameroon , Morocco,1.0,0.0,Group B,Home
Morocco , Zaire,1.0,1.0,Group B,Draw
Cameroon , Zaire,1.0,1.0,Group B,Draw
Ivory Coast , Algeria,3.0,0.0,Group C,Home
Ivory Coast , Congo,0.0,0.0,Group C,Draw
Algeria , Congo,1.0,1.0,Group C,Draw
Zambia , Egypt,1.0,0.0,Group D,Home
Ghana , Zambia,1.0,0.0,Group D,Home
Ghana , Egypt,1.0,0.0,Group D,Home
Nigeria , Zaire,1.0,0.0,Quarter-finals,Home
Cameroon , Senegal,1.0,0.0,Quarter-finals,Home
Ivory Coast , Zambia,1.0,0.0,Quarter-finals,Home
Ghana , Congo,2.0,1.0,Quarter-finals,Home
Ghana , Nigeria,2.0,1.0,Semi-finals,Home
Cameroon , Ivory Coast,0.0,0.0,Semi-finals,Draw
Nigeria , Cameroon,2.0,1.0,Third place match,Home
Ivory Coast , Ghana,0.0,0.0,Final,Draw
Tunisia , Mali,0.0,2.0,Group A,Away
Mali , Zaire,0.0,1.0,Group A,Away
Tunisia , Zaire,1.0,1.0,Group A,Draw
Nigeria , Gabon,3.0,0.0,Group B,Home
Egypt , Gabon,4.0,0.0,Group B,Home
Nigeria , Egypt,0.0,0.0,Group B,Draw
Ivory Coast , Sierra Leone,4.0,0.0,Group C,Home
Zambia , Sierra Leone,0.0,0.0,Group C,Draw
Zambia , Ivory Coast,1.0,0.0,Group C,Home
Ghana , Guinea,1.0,0.0,Group D,Home
Senegal , Guinea,2.0,1.0,Group D,Home
Ghana , Senegal,1.0,0.0,Group D,Home
Zaire , Nigeria,0.0,2.0,Quarterfinals,Away
Egypt , Mali,0.0,1.0,Quarterfinals,Away
Zambia , Senegal,1.0,0.0,Quarterfinals,Home
Ghana , Ivory Coast,1.0,2.0,Quarterfinals,Away
Nigeria , Ivory Coast,2.0,2.0,Semifinals,Draw
Zambia , Mali,4.0,0.0,Semifinals,Home
Ivory Coast , Mali,3.0,1.0,Third place match,Home
Nigeria , Zambia,2.0,1.0,Final,Home
South Africa , Cameroon,3.0,0.0,Group A,Home
Egypt , Angola,2.0,1.0,Group A,Home
Cameroon , Egypt,2.0,1.0,Group A,Home
South Africa , Angola,1.0,0.0,Group A,Home
South Africa , Egypt,0.0,1.0,Group A,Away
Angola , Cameroon,3.0,3.0,Group A,Draw
Zambia , Algeria,0.0,0.0,Group B,Draw
Sierra Leone , Burkina Faso,2.0,1.0,Group B,Home
Algeria , Sierra Leone,2.0,0.0,Group B,Home
Zambia , Burkina Faso,5.0,1.0,Group B,Home
Algeria , Burkina Faso,2.0,1.0,Group B,Home
Zambia , Sierra Leone,4.0,0.0,Group B,Home
Gabon , Liberia,1.0,2.0,Group C,Away
Gabon , Zaire,2.0,0.0,Group C,Home
Zaire , Liberia,2.0,0.0,Group C,Home
Ghana , Ivory Coast,2.0,0.0,Group D,Home
Tunisia , Mozambique,1.0,1.0,Group D,Draw
Ghana , Tunisia,2.0,1.0,Group D,Home
Ivory Coast , Mozambique,1.0,0.0,Group D,Home
Tunisia , Ivory Coast,3.0,1.0,Group D,Home
Ghana , Mozambique,2.0,0.0,Group D,Home
South Africa , Algeria,2.0,1.0,Quarterfinals,Home
Zambia , Egypt,3.0,1.0,Quarterfinals,Home
Gabon , Tunisia,1.0,1.0,Quarterfinals,Draw
Ghana , Zaire,1.0,0.0,Quarterfinals,Home
South Africa , Ghana,3.0,0.0,Semifinals,Home
Zambia , Tunisia,2.0,4.0,Semifinals,Away
Ghana , Zambia,0.0,1.0,Third place match,Away
South Africa , Tunisia,2.0,0.0,Final,Home
Burkina Faso , Cameroon,0.0,1.0,Group A,Away
Algeria , Guinea,0.0,1.0,Group A,Away
Cameroon , Guinea,2.0,2.0,Group A,Draw
Burkina Faso , Algeria,2.0,1.0,Group A,Home
Burkina Faso , Guinea,1.0,0.0,Group A,Home
Cameroon , Algeria,2.0,1.0,Group A,Home
DR Congo , Togo,2.0,1.0,Group B,Home
Ghana , Tunisia,2.0,0.0,Group B,Home
Tunisia , DR Congo,2.0,1.0,Group B,Home
Togo , Ghana,2.0,1.0,Group B,Home
DR Congo , Ghana,1.0,0.0,Group B,Home
Tunisia , Togo,3.0,1.0,Group B,Home
South Africa , Angola,0.0,0.0,Group C,Draw
Ivory Coast , Namibia,4.0,3.0,Group C,Home
Ivory Coast , South Africa,1.0,1.0,Group C,Draw
Angola , Namibia,3.0,3.0,Group C,Draw
Ivory Coast , Angola,5.0,2.0,Group C,Home
South Africa , Namibia,4.0,1.0,Group C,Home
Morocco , Zambia,1.0,1.0,Group D,Draw
Egypt , Mozambique,2.0,0.0,Group D,Home
Egypt , Zambia,4.0,0.0,Group D,Home
Morocco , Mozambique,3.0,0.0,Group D,Home
Zambia , Mozambique,3.0,1.0,Group D,Home
Morocco , Egypt,1.0,0.0,Group D,Home
Cameroon , DR Congo,0.0,1.0,Quarterfinals,Away
Tunisia , Burkina Faso,1.0,1.0,Quarterfinals,Draw
Ivory Coast , Egypt,0.0,0.0,Quarterfinals,Draw
Morocco , South Africa,1.0,2.0,Quarterfinals,Away
DR Congo , South Africa,1.0,2.0,Semifinals,Away
Burkina Faso , Egypt,0.0,2.0,Semifinals,Away
DR Congo , Burkina Faso,4.0,4.0,Third place match,Draw
South Africa , Egypt,0.0,2.0,Final,Away
Ghana , Cameroon,1.0,1.0,Group A,Draw
Ivory Coast , Togo,1.0,1.0,Group A,Draw
Ghana , Togo,2.0,0.0,Group A,Home
Cameroon , Ivory Coast,3.0,0.0,Group A,Home
Ghana , Ivory Coast,0.0,2.0,Group A,Away
Cameroon , Togo,0.0,1.0,Group A,Away
South Africa , Gabon,3.0,1.0,Group B,Home
DR Congo , Algeria,0.0,0.0,Group B,Draw
South Africa , DR Congo,1.0,0.0,Group B,Home
Algeria , Gabon,3.0,1.0,Group B,Home
South Africa , Algeria,1.0,1.0,Group B,Draw
DR Congo , Gabon,0.0,0.0,Group B,Draw
Egypt , Zambia,2.0,0.0,Group C,Home
Burkina Faso , Senegal,1.0,3.0,Group C,Away
Egypt , Senegal,1.0,0.0,Group C,Home
Zambia , Burkina Faso,1.0,1.0,Group C,Draw
Egypt , Burkina Faso,4.0,2.0,Group C,Home
Zambia , Senegal,2.0,2.0,Group C,Draw
