Rank,Team
1,Egypt  [n 1]
2,Ghana
3,Nigeria
4,Cameroon
5,Ivory Coast
6,Algeria
7,Morocco
8,Tunisia
9,Senegal
10,Zambia
11,DR Congo  [n 2]
12,Mali
13,South Africa
14,Guinea
15,Burkina Faso  [n 3]
16,Gabon
17,Sudan
18,Congo
19,Ethiopia
20,Angola
21,Equatorial Guinea
22,Togo
23,Uganda
24,Libya
25,Cape Verde
26,Zimbabwe
27,Gambia
28,Kenya
29,Madagascar
30,Malawi
31,Sierra Leone
32,Liberia
33,Benin
34,Rwanda
35,Comoros
36,Guinea-Bissau
37,Mauritania
38,Namibia
39,Mozambique
40,Niger
41,Tanzania
42,Burundi
43,Mauritius
44,Botswana