Year,Date ,Time ,HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Date,HomeTeam_encoded,AwayTeam_encoded,Stage_encoded,MatchOutcome
1957,10-Feb-57,,Sudan , Egypt,1.0,2.0,Semi-finals,2057-02-10,34,9,4,-1
1957,16-Feb-57,,Egypt , Ethiopia,4.0,0.0,Final,2057-02-16,10,11,0,1
1959,22-May-59,,Egypt, Ethiopia,4.0,0.0,Final,2059-05-22,9,11,0,1
1959,25-May-59,,Sudan , Ethiopia,1.0,0.0,Final,2059-05-25,34,11,0,1
1959,29-May-59,,Egypt, Sudan,2.0,1.0,Final,2059-05-29,9,34,0,1
1962,14-Jan-62,,Ethiopia , Tunisia,4.0,2.0,Semi-finals,2062-01-14,12,37,4,1
1962,18-Jan-62,,Egypt, Uganda,2.0,1.0,Semi-finals,2062-01-18,9,38,4,1
1962,20-Jan-62,,Tunisia , Uganda,3.0,0.0,Third place,2062-01-20,37,38,5,1
1962,21-Jan-62,,Ethiopia ,Egypt,4.0,2.0,Final,2062-01-21,12,43,0,1
1963,24-Nov-63,,Ghana , Tunisia,1.0,1.0,Group stage,2063-11-24,15,37,1,0
1963,26-Nov-63,,Ghana , Ethiopia,2.0,0.0,Group stage,2063-11-26,15,11,1,1
1963,28-Nov-63,,Ethiopia , Tunisia,4.0,2.0,Group stage,2063-11-28,12,37,1,1
1963,24-Nov-63,,Egypt, Nigeria,6.0,3.0,Group stage,2063-11-24,9,29,1,1
1963,26-Nov-63,,Egypt, Sudan,2.0,2.0,Group stage,2063-11-26,9,34,1,0
1963,28-Nov-63,,Sudan , Nigeria,4.0,0.0,Group stage,2063-11-28,34,29,1,1
1963,30-Nov-63,,Egypt, Ethiopia,3.0,0.0,Third place,2063-11-30,9,11,5,1
1963,01-Dec-63,,Ghana , Sudan,3.0,0.0,Final,2063-12-01,15,34,0,1
1965,12-Nov-65,,Tunisia , Ethiopia,4.0,0.0,Group stage,2065-11-12,37,11,1,1
1965,14-Nov-65,,Senegal , Tunisia,0.0,0.0,Group stage,2065-11-14,31,37,1,0
1965,19-Nov-65,,Senegal , Ethiopia,5.0,1.0,Group stage,2065-11-19,31,11,1,1
1965,12-Nov-65,,Ghana , DR Congo,5.0,2.0,Group stage,2065-11-12,15,8,1,1
1965,14-Nov-65,,Ivory Coast , DR Congo,3.0,0.0,Group stage,2065-11-14,18,8,1,1
1965,19-Nov-65,,Ghana , Ivory Coast,4.0,1.0,Group stage,2065-11-19,15,17,1,1
1965,21-Nov-65,,Senegal , Ivory Coast,0.0,1.0,Third place,2065-11-21,31,17,5,-1
1965,21-Nov-65,,Ghana , Tunisia,3.0,2.0,Final,2065-11-21,15,37,0,1
1968,12-Jan-68,,Ethiopia , Uganda,2.0,1.0,Group stage,2068-01-12,12,38,1,1
1968,12-Jan-68,,Ivory Coast , Algeria,3.0,0.0,Group stage,2068-01-12,18,0,1,1
1968,14-Jan-68,,Ethiopia , Ivory Coast,1.0,0.0,Group stage,2068-01-14,12,17,1,1
1968,14-Jan-68,,Algeria , Uganda,4.0,0.0,Group stage,2068-01-14,0,38,1,1
1968,16-Jan-68,,Ivory Coast , Uganda,2.0,1.0,Group stage,2068-01-16,18,38,1,1
1968,16-Jan-68,,Ethiopia , Algeria,3.0,1.0,Group stage,2068-01-16,12,0,1,1
1968,12-Jan-68,,Ghana , Senegal,2.0,2.0,Group stage,2068-01-12,15,31,1,0
1968,12-Jan-68,,DR Congo , DR Congo,3.0,0.0,Group stage,2068-01-12,8,8,1,1
1968,14-Jan-68,,Senegal , DR Congo,2.0,1.0,Group stage,2068-01-14,31,8,1,1
1968,14-Jan-68,,Ghana , DR Congo,2.0,1.0,Group stage,2068-01-14,15,8,1,1
1968,16-Jan-68,,DR Congo , Senegal,2.0,1.0,Group stage,2068-01-16,8,31,1,1
1968,16-Jan-68,,Ghana , DR Congo,3.0,1.0,Group stage,2068-01-16,15,8,1,1
1968,19-Jan-68,,Ethiopia , DR Congo,2.0,3.0,Semi-finals,2068-01-19,12,8,4,-1
1968,19-Jan-68,,Ghana , Ivory Coast,4.0,3.0,Semi-finals,2068-01-19,15,17,4,1
1968,21-Jan-68,,Ivory Coast , Ethiopia,1.0,0.0,Third place,2068-01-21,18,11,5,1
1968,21-Jan-68,,DR Congo , Ghana,1.0,0.0,Final,2068-01-21,8,14,0,1
1970,06-Feb-70,,Cameroon , Ivory Coast,3.0,2.0,Group stage,2070-02-06,5,17,1,1
1970,06-Feb-70,,Sudan , Ethiopia,3.0,0.0,Group stage,2070-02-06,34,11,1,1
1970,08-Feb-70,,Cameroon , Ethiopia,3.0,2.0,Group stage,2070-02-08,5,11,1,1
1970,08-Feb-70,,Ivory Coast , Sudan,1.0,0.0,Group stage,2070-02-08,18,34,1,1
1970,10-Feb-70,,Ivory Coast , Ethiopia,6.0,1.0,Group stage,2070-02-10,18,11,1,1
1970,10-Feb-70,,Sudan , Cameroon,2.0,1.0,Group stage,2070-02-10,34,5,1,1
1970,07-Feb-70,,Ghana , DR Congo,2.0,0.0,Group stage,2070-02-07,15,8,1,1
1970,07-Feb-70,,United Arab Rep. , Guinea,4.0,1.0,Group stage,2070-02-07,39,15,1,1
1970,09-Feb-70,,DR Congo , Guinea,2.0,2.0,Group stage,2070-02-09,8,15,1,0
1970,09-Feb-70,,United Arab Rep. , Ghana,1.0,1.0,Group stage,2070-02-09,39,14,1,0
1970,11-Feb-70,,Guinea , Ghana,1.0,1.0,Group stage,2070-02-11,16,14,1,0
1970,11-Feb-70,,United Arab Rep. , DR Congo,1.0,0.0,Group stage,2070-02-11,39,8,1,1
1970,14-Feb-70,,Ivory Coast , Ghana,1.0,2.0,Semi-finals,2070-02-14,18,14,4,-1
1970,14-Feb-70,,United Arab Rep. , Sudan,1.0,2.0,Semi-finals,2070-02-14,39,34,4,-1
1970,16-Feb-70,,United Arab Rep. , Ivory Coast,3.0,1.0,Third place,2070-02-16,39,17,5,1
1970,16-Feb-70,,Sudan , Ghana,1.0,0.0,Final,2070-02-16,34,14,0,1
1972,23-Feb-72,,Cameroon , Kenya,2.0,1.0,Group stage,2072-02-23,5,18,1,1
1972,24-Feb-72,,Mali , Togo,3.0,3.0,Group stage,2072-02-24,24,36,1,0
1972,26-Feb-72,,Mali , Kenya,1.0,1.0,Group stage,2072-02-26,24,18,1,0
1972,26-Feb-72,,Cameroon , Togo,2.0,0.0,Group stage,2072-02-26,5,36,1,1
1972,28-Feb-72,,Togo , Kenya,1.0,1.0,Group stage,2072-02-28,36,18,1,0
1972,28-Feb-72,,Cameroon , Mali,1.0,1.0,Group stage,2072-02-28,5,23,1,0
1972,25-Feb-72,,DR Congo , Morocco,1.0,1.0,Group stage,2072-02-25,8,26,1,0
1972,25-Feb-72,,Zaire , Sudan,1.0,1.0,Group stage,2072-02-25,40,34,1,0
1972,27-Feb-72,,Morocco , Sudan,1.0,1.0,Group stage,2072-02-27,26,34,1,0
1972,27-Feb-72,,Zaire , DR Congo,2.0,0.0,Group stage,2072-02-27,40,8,1,1
1972,29-Feb-72,,Morocco , Zaire,1.0,1.0,Group stage,2072-02-29,26,40,1,0
1972,29-Feb-72,,DR Congo , Sudan,4.0,2.0,Group stage,2072-02-29,8,34,1,1
1972,02-Mar-72,,Cameroon , DR Congo,0.0,1.0,Semi-finals,2072-03-02,5,8,4,-1
1972,02-Mar-72,,Zaire , Mali,3.0,4.0,Semi-finals,2072-03-02,40,23,4,-1
1972,04-Mar-72,,Cameroon , Zaire,5.0,2.0,Third place,2072-03-04,5,40,5,1
1972,05-Mar-72,,DR Congo , Mali,3.0,2.0,Final,2072-03-05,8,23,0,1
1974,01-Mar-74,,Egypt , Uganda,2.0,1.0,Group stage,1974-03-01,10,38,1,1
1974,02-Mar-74,,Zambia , Ivory Coast,1.0,0.0,Group stage,1974-03-02,41,17,1,1
1974,04-Mar-74,,Egypt , Zambia,3.0,1.0,Group stage,1974-03-04,10,41,1,1
1974,04-Mar-74,,Ivory Coast , Uganda,2.0,2.0,Group stage,1974-03-04,18,38,1,0
1974,06-Mar-74,,Egypt , Ivory Coast,2.0,0.0,Group stage,1974-03-06,10,17,1,1
1974,06-Mar-74,,Zambia , Uganda,1.0,0.0,Group stage,1974-03-06,41,38,1,1
1974,03-Mar-74,,Zaire , Guinea,2.0,1.0,Group stage,1974-03-03,40,15,1,1
1974,03-Mar-74,,DR Congo , Mauritius,2.0,0.0,Group stage,1974-03-03,8,25,1,1
1974,05-Mar-74,,Guinea , Mauritius,2.0,1.0,Group stage,1974-03-05,16,25,1,1
1974,05-Mar-74,,DR Congo , Zaire,2.0,1.0,Group stage,1974-03-05,8,40,1,1
1974,07-Mar-74,,DR Congo , Guinea,1.0,1.0,Group stage,1974-03-07,8,15,1,0
1974,07-Mar-74,,Zaire , Mauritius,4.0,1.0,Group stage,1974-03-07,40,25,1,1
1974,09-Mar-74,,Egypt , Zaire,2.0,3.0,Semi-finals,1974-03-09,10,40,4,-1
1974,09-Mar-74,,DR Congo , Zambia,2.0,4.0,Semi-finals,1974-03-09,8,41,4,-1
1974,11-Mar-74,,DR Congo , Egypt,0.0,4.0,Third place,1974-03-11,8,9,5,-1
1974,12-Mar-74,,Zaire , Zambia,2.0,2.0,Final,1974-03-12,40,41,0,0
1974,14-Mar-74,,Zaire , Zambia,2.0,0.0,Final,1974-03-14,40,41,0,1
1976,29-Feb-76,,Ethiopia , Uganda,2.0,0.0,Group stage,1976-02-29,12,38,1,1
1976,29-Feb-76,,Egypt , Guinea,1.0,1.0,Group stage,1976-02-29,10,15,1,0
1976,03-Mar-76,,Egypt , Uganda,2.0,1.0,Group stage,1976-03-03,10,38,1,1
1976,03-Mar-76,,Ethiopia , Guinea,1.0,2.0,Group stage,1976-03-03,12,15,1,-1
1976,05-Mar-76,,Guinea , Uganda,2.0,1.0,Group stage,1976-03-05,16,38,1,1
1976,05-Mar-76,,Ethiopia , Egypt,1.0,1.0,Group stage,1976-03-05,12,9,1,0
1976,01-Mar-76,,Nigeria , Zaire,4.0,2.0,Group stage,1976-03-01,29,40,1,1
1976,01-Mar-76,,Morocco , Sudan,2.0,2.0,Group stage,1976-03-01,26,34,1,0
1976,04-Mar-76,,Nigeria , Sudan,1.0,0.0,Group stage,1976-03-04,29,34,1,1
1976,04-Mar-76,,Morocco , Zaire,1.0,0.0,Group stage,1976-03-04,26,40,1,1
1976,06-Mar-76,,Morocco , Nigeria,3.0,1.0,Group stage,1976-03-06,26,29,1,1
1976,06-Mar-76,,Zaire , Sudan,1.0,1.0,Group stage,1976-03-06,40,34,1,0
1976,09-Mar-76,,Guinea , Nigeria,1.0,1.0,Group stage,1976-03-09,16,29,1,0
1976,09-Mar-76,,Morocco , Egypt,2.0,1.0,Group stage,1976-03-09,26,9,1,1
1976,11-Mar-76,,Morocco , Nigeria,2.0,1.0,Group stage,1976-03-11,26,29,1,1
1976,11-Mar-76,,Guinea , Egypt,4.0,2.0,Group stage,1976-03-11,16,9,1,1
1976,14-Mar-76,,Nigeria , Egypt,3.0,2.0,Group stage,1976-03-14,29,9,1,1
1976,14-Mar-76,,Guinea , Morocco,1.0,1.0,Group stage,1976-03-14,16,26,1,0
1978,05-Mar-78,,Ghana , Zambia,2.0,1.0,Group stage,1978-03-05,15,41,1,1
1978,05-Mar-78,,Nigeria , Upper Volta,4.0,2.0,Group stage,1978-03-05,29,39,1,1
1978,08-Mar-78,,Zambia , Upper Volta,2.0,0.0,Group stage,1978-03-08,41,39,1,1
1978,08-Mar-78,,Nigeria , Ghana,1.0,1.0,Group stage,1978-03-08,29,14,1,0
1978,10-Mar-78,,Zambia , Nigeria,0.0,0.0,Group stage,1978-03-10,41,29,1,0
1978,10-Mar-78,,Ghana , Upper Volta,3.0,0.0,Group stage,1978-03-10,15,39,1,1
1978,06-Mar-78,,Morocco , Tunisia,1.0,1.0,Group stage,1978-03-06,26,37,1,0
1978,06-Mar-78,,Uganda , DR Congo,3.0,1.0,Group stage,1978-03-06,38,8,1,1
1978,09-Mar-78,,Tunisia , Uganda,3.0,1.0,Group stage,1978-03-09,37,38,1,1
1978,09-Mar-78,,Morocco , DR Congo,1.0,0.0,Group stage,1978-03-09,26,8,1,1
1978,11-Mar-78,,DR Congo , Tunisia,0.0,0.0,Group stage,1978-03-11,8,37,1,0
1978,11-Mar-78,,Uganda , Morocco,3.0,0.0,Group stage,1978-03-11,38,26,1,1
1978,14-Mar-78,,Ghana , Tunisia,1.0,0.0,Semi-finals,1978-03-14,15,37,4,1
1978,14-Mar-78,,Uganda , Nigeria,2.0,1.0,Semi-finals,1978-03-14,38,29,4,1
1978,16-Mar-78,,Nigeria , Tunisia,1.0,11.0,Third place,1978-03-16,29,37,5,-1
1978,16-Mar-78,,Ghana , Uganda,2.0,0.0,Final,1978-03-16,15,38,0,1
1980,08-Mar-80,,Nigeria , Tanzania,3.0,1.0,Group stage,1980-03-08,29,35,1,1
1980,08-Mar-80,,Egypt , Ivory Coast,2.0,1.0,Group stage,1980-03-08,10,17,1,1
1980,12-Mar-80,,Egypt , Tanzania,2.0,1.0,Group stage,1980-03-12,10,35,1,1
1980,12-Mar-80,,Nigeria , Ivory Coast,0.0,0.0,Group stage,1980-03-12,29,17,1,0
1980,15-Mar-80,,Ivory Coast , Tanzania,1.0,1.0,Group stage,1980-03-15,18,35,1,0
1980,15-Mar-80,,Nigeria , Egypt,1.0,0.0,Group stage,1980-03-15,29,9,1,1
1980,09-Mar-80,,Ghana , Algeria,0.0,0.0,Group stage,1980-03-09,15,0,1,0
1980,09-Mar-80,,Morocco , Guinea,1.0,1.0,Group stage,1980-03-09,26,15,1,0
1980,13-Mar-80,,Algeria , Morocco,1.0,0.0,Group stage,1980-03-13,0,26,1,1
1980,13-Mar-80,,Ghana , Guinea,1.0,0.0,Group stage,1980-03-13,15,15,1,1
1980,16-Mar-80,,Algeria , Guinea,3.0,2.0,Group stage,1980-03-16,0,15,1,1
1980,16-Mar-80,,Morocco , Ghana,1.0,0.0,Group stage,1980-03-16,26,14,1,1
1980,19-Mar-80,,Nigeria , Morocco,1.0,0.0,Semi-finals,1980-03-19,29,26,4,1
1980,19-Mar-80,,Algeria , Egypt,2.0,2.0,Semi-finals,1980-03-19,0,9,4,0
1980,21-Mar-80,,Morocco , Egypt,2.0,0.0,Third place,1980-03-21,26,9,5,1
1980,22-Mar-80,,Nigeria , Algeria,3.0,0.0,Final,1980-03-22,29,0,0,1
1982,05-Mar-82,,Libya , Ghana,2.0,2.0,Group stage,1982-03-05,21,14,1,0
1982,05-Mar-82,,Cameroon , Tunisia,1.0,1.0,Group stage,1982-03-05,5,37,1,0
1982,09-Mar-82,,Cameroon , Ghana,0.0,0.0,Group stage,1982-03-09,5,14,1,0
1982,09-Mar-82,,Libya , Tunisia,2.0,0.0,Group stage,1982-03-09,21,37,1,1
1982,12-Mar-82,,Ghana , Tunisia,1.0,0.0,Group stage,1982-03-12,15,37,1,1
1982,12-Mar-82,,Libya , Cameroon,0.0,0.0,Group stage,1982-03-12,21,5,1,0
1982,07-Mar-82,,Nigeria , Ethiopia,3.0,0.0,Group stage,1982-03-07,29,11,1,1
1982,07-Mar-82,,Algeria , Zambia,1.0,0.0,Group stage,1982-03-07,0,41,1,1
1982,10-Mar-82,,Zambia , Ethiopia,1.0,0.0,Group stage,1982-03-10,41,11,1,1
1982,10-Mar-82,,Algeria , Nigeria,2.0,1.0,Group stage,1982-03-10,0,29,1,1
1982,13-Mar-82,,Algeria , Ethiopia,0.0,0.0,Group stage,1982-03-13,0,11,1,0
1982,13-Mar-82,,Zambia , Nigeria,3.0,0.0,Group stage,1982-03-13,41,29,1,1
1982,16-Mar-82,,Ghana , Algeria,3.0,2.0,Semi-finals,1982-03-16,15,0,4,1
1982,16-Mar-82,,Libya , Zambia,2.0,1.0,Semi-finals,1982-03-16,21,41,4,1
1982,18-Mar-82,,Zambia , Algeria,2.0,0.0,Third place,1982-03-18,41,0,5,1
1982,19-Mar-82,,Ghana , Libya,1.0,1.0,Final,1982-03-19,15,20,0,0
1984,04-Mar-84,,Ivory Coast , Togo,3.0,0.0,Group stage,1984-03-04,18,36,1,1
1984,04-Mar-84,,Egypt , Cameroon,1.0,0.0,Group stage,1984-03-04,10,5,1,1
1984,07-Mar-84,,Cameroon , Togo,4.0,1.0,Group stage,1984-03-07,5,36,1,1
1984,07-Mar-84,,Ivory Coast , Egypt,1.0,2.0,Group stage,1984-03-07,18,9,1,-1
1984,10-Mar-84,,Egypt , Togo,0.0,0.0,Group stage,1984-03-10,10,36,1,0
1984,10-Mar-84,,Ivory Coast , Cameroon,0.0,2.0,Group stage,1984-03-10,18,5,1,-1
1984,05-Mar-84,,Ghana , Nigeria,1.0,2.0,Group stage,1984-03-05,15,29,1,-1
1984,05-Mar-84,,Algeria , Malawi,3.0,0.0,Group stage,1984-03-05,0,22,1,1
1984,08-Mar-84,,Malawi , Nigeria,2.0,2.0,Group stage,1984-03-08,23,29,1,0
1984,08-Mar-84,,Algeria , Ghana,2.0,0.0,Group stage,1984-03-08,0,14,1,1
1984,11-Mar-84,,Algeria , Nigeria,0.0,0.0,Group stage,1984-03-11,0,29,1,0
1984,11-Mar-84,,Ghana , Malawi,1.0,0.0,Group stage,1984-03-11,15,22,1,1
1984,14-Mar-84,,Egypt , Nigeria,2.0,2.0,Semi-finals,1984-03-14,10,29,4,0
1984,14-Mar-84,,Algeria , Cameroon,0.0,0.0,Semi-finals,1984-03-14,0,5,4,0
1984,17-Mar-84,,Algeria , Egypt,3.0,1.0,Third place,1984-03-17,0,9,5,1
1984,18-Mar-84,,Cameroon , Nigeria,3.0,1.0,Final,1984-03-18,5,29,0,1
1986,07-Mar-86,,Senegal , Egypt,1.0,0.0,Group stage,1986-03-07,31,9,1,1
1986,07-Mar-86,,Ivory Coast , Mozambique,3.0,0.0,Group stage,1986-03-07,18,27,1,1
1986,10-Mar-86,,Senegal , Mozambique,2.0,0.0,Group stage,1986-03-10,31,27,1,1
1986,10-Mar-86,,Egypt , Ivory Coast,2.0,0.0,Group stage,1986-03-10,10,17,1,1
1986,13-Mar-86,,Ivory Coast , Senegal,1.0,0.0,Group stage,1986-03-13,18,31,1,1
1986,13-Mar-86,,Egypt , Mozambique,2.0,0.0,Group stage,1986-03-13,10,27,1,1
1986,08-Mar-86,,Algeria , Morocco,0.0,0.0,Group stage,1986-03-08,0,26,1,0
1986,08-Mar-86,,Cameroon , Zambia,3.0,2.0,Group stage,1986-03-08,5,41,1,1
1986,11-Mar-86,,Algeria , Zambia,0.0,0.0,Group stage,1986-03-11,0,41,1,0
1986,11-Mar-86,,Cameroon , Morocco,1.0,1.0,Group stage,1986-03-11,5,26,1,0
1986,14-Mar-86,,Morocco , Zambia,1.0,0.0,Group stage,1986-03-14,26,41,1,1
1986,14-Mar-86,,Cameroon , Algeria,3.0,2.0,Group stage,1986-03-14,5,0,1,1
1986,17-Mar-86,,Cameroon , Ivory Coast,1.0,0.0,Semi-finals,1986-03-17,5,17,4,1
1986,17-Mar-86,,Egypt , Morocco,1.0,0.0,Semi-finals,1986-03-17,10,26,4,1
1986,20-Mar-86,,Ivory Coast , Morocco,3.0,2.0,Third place,1986-03-20,18,26,5,1
1986,21-Mar-86,,Egypt , Cameroon,0.0,0.0,Final,1986-03-21,10,5,0,0
1988,13-Mar-88,,Morocco , Zaire,1.0,1.0,Group stage,1988-03-13,26,40,1,0
1988,13-Mar-88,,Ivory Coast , Algeria,1.0,1.0,Group stage,1988-03-13,18,0,1,0
1988,16-Mar-88,,Ivory Coast , Zaire,1.0,1.0,Group stage,1988-03-16,18,40,1,0
1988,16-Mar-88,,Morocco , Algeria,1.0,0.0,Group stage,1988-03-16,26,0,1,1
1988,19-Mar-88,,Algeria , Zaire,1.0,0.0,Group stage,1988-03-19,0,40,1,1
1988,19-Mar-88,,Morocco , Ivory Coast,0.0,0.0,Group stage,1988-03-19,26,17,1,0
1988,14-Mar-88,,Cameroon , Egypt,1.0,0.0,Group stage,1988-03-14,5,9,1,1
1988,14-Mar-88,,Nigeria , Kenya,3.0,0.0,Group stage,1988-03-14,29,18,1,1
1988,17-Mar-88,,Cameroon , Nigeria,1.0,1.0,Group stage,1988-03-17,5,29,1,0
1988,17-Mar-88,,Egypt , Kenya,3.0,0.0,Group stage,1988-03-17,10,18,1,1
1988,20-Mar-88,,Cameroon , Kenya,0.0,0.0,Group stage,1988-03-20,5,18,1,0
1988,20-Mar-88,,Nigeria , Egypt,0.0,0.0,Group stage,1988-03-20,29,9,1,0
1988,23-Mar-88,,Nigeria , Algeria,1.0,1.0,Semi-finals,1988-03-23,29,0,4,0
1988,23-Mar-88,,Morocco , Cameroon,0.0,1.0,Semi-finals,1988-03-23,26,5,4,-1
1988,26-Mar-88,,Morocco , Algeria,1.0,1.0,Third place,1988-03-26,26,0,5,0
1988,27-Mar-88,,Cameroon , Nigeria,1.0,0.0,Final,1988-03-27,5,29,0,1
1990,02-Mar-90,,Algeria , Nigeria,5.0,1.0,Group stage,1990-03-02,0,29,1,1
1990,02-Mar-90,,Ivory Coast , Egypt,3.0,1.0,Group stage,1990-03-02,18,9,1,1
1990,05-Mar-90,,Nigeria , Egypt,1.0,0.0,Group stage,1990-03-05,29,9,1,1
1990,05-Mar-90,,Algeria , Ivory Coast,3.0,0.0,Group stage,1990-03-05,0,17,1,1
1990,08-Mar-90,,Nigeria , Ivory Coast,1.0,0.0,Group stage,1990-03-08,29,17,1,1
1990,08-Mar-90,,Algeria , Egypt,2.0,0.0,Group stage,1990-03-08,0,9,1,1
1990,03-Mar-90,,Zambia , Cameroon,1.0,0.0,Group stage,1990-03-03,41,5,1,1
1990,03-Mar-90,,Senegal , Kenya,0.0,0.0,Group stage,1990-03-03,31,18,1,0
1990,06-Mar-90,,Zambia , Kenya,1.0,0.0,Group stage,1990-03-06,41,18,1,1
1990,06-Mar-90,,Senegal , Cameroon,2.0,0.0,Group stage,1990-03-06,31,5,1,1
1990,09-Mar-90,,Zambia , Senegal,0.0,0.0,Group stage,1990-03-09,41,31,1,0
1990,09-Mar-90,,Cameroon , Kenya,2.0,0.0,Group stage,1990-03-09,5,18,1,1
1990,12-Mar-90,,Zambia , Nigeria,0.0,2.0,Semi-finals,1990-03-12,41,29,4,-1
1990,12-Mar-90,,Algeria , Senegal,2.0,1.0,Semi-finals,1990-03-12,0,31,4,1
1990,15-Mar-90,,Zambia , Senegal,1.0,0.0,Third place,1990-03-15,41,31,5,1
1990,16-Mar-90,16:00,Algeria , Nigeria,1.0,0.0,Final,1990-03-16,0,29,0,1
1992,12-Jan-92,,Nigeria , Senegal,2.0,1.0,Group stage,1992-01-12,29,31,1,1
1992,14-Jan-92,,Nigeria , Kenya,2.0,1.0,Group stage,1992-01-14,29,18,1,1
1992,16-Jan-92,,Senegal , Kenya,3.0,0.0,Group stage,1992-01-16,31,18,1,1
1992,12-Jan-92,,Cameroon , Morocco,1.0,0.0,Group stage,1992-01-12,5,26,1,1
1992,14-Jan-92,,Morocco , Zaire,1.0,1.0,Group stage,1992-01-14,26,40,1,0
1992,16-Jan-92,,Cameroon , Zaire,1.0,1.0,Group stage,1992-01-16,5,40,1,0
1992,13-Jan-92,,Ivory Coast , Algeria,3.0,0.0,Group stage,1992-01-13,18,0,1,1
1992,15-Jan-92,,Ivory Coast , DR Congo,0.0,0.0,Group stage,1992-01-15,18,8,1,0
1992,17-Jan-92,,Algeria , DR Congo,1.0,1.0,Group stage,1992-01-17,0,8,1,0
1992,13-Jan-92,,Zambia , Egypt,1.0,0.0,Group stage,1992-01-13,41,9,1,1
1992,15-Jan-92,,Ghana , Zambia,1.0,0.0,Group stage,1992-01-15,15,41,1,1
1992,17-Jan-92,,Ghana , Egypt,1.0,0.0,Group stage,1992-01-17,15,9,1,1
1992,19-Jan-92,,Nigeria , Zaire,1.0,0.0,Quarter-finals,1992-01-19,29,40,2,1
1992,19-Jan-92,,Cameroon , Senegal,1.0,0.0,Quarter-finals,1992-01-19,5,31,2,1
1992,20-Jan-92,,Ivory Coast , Zambia,1.0,0.0,Quarter-finals,1992-01-20,18,41,2,1
1992,20-Jan-92,,Ghana , DR Congo,2.0,1.0,Quarter-finals,1992-01-20,15,8,2,1
1992,23-Jan-92,,Ghana , Nigeria,2.0,1.0,Semi-finals,1992-01-23,15,29,4,1
1992,23-Jan-92,,Cameroon , Ivory Coast,0.0,0.0,Semi-finals,1992-01-23,5,17,4,0
